ZONAS;Total general;FECHA_REF;Fecha_2018;2018;Fecha_2017;2017;Fecha_2016;2016;Fecha_2015;2015;Fecha_2014;2014;EST_2019;;PROMEDIO;PROM_REDOND;PROM_INCLU_2019
;;1/1/20;1/1/18;235;01/01/17;218;1/1/16;228;1/1/15;211;1/1/14;251;215;;228,6;229;226
;;2/1/20;2/1/18;217;02/01/17;171;2/1/16;208;2/1/15;203;2/1/14;189;215;;197,6;198;201
;;3/1/20;3/1/18;221;03/01/17;210;3/1/16;199;3/1/15;182;3/1/14;196;215;;201,6;202;204
;;4/1/20;4/1/18;197;04/01/17;200;4/1/16;181;4/1/15;194;4/1/14;188;215;;192;192;196
;;5/1/20;5/1/18;191;05/01/17;204;5/1/16;180;5/1/15;176;5/1/14;156;215;;181,4;181;187
;;6/1/20;6/1/18;223;06/01/17;207;6/1/16;196;6/1/15;181;6/1/14;187;215;;198,8;199;202
;;7/1/20;7/1/18;212;07/01/17;175;7/1/16;167;7/1/15;163;7/1/14;165;215;;176,4;176;183
;;8/1/20;8/1/18;193;08/01/17;176;8/1/16;171;8/1/15;187;8/1/14;164;215;;178,2;178;184
;;9/1/20;9/1/18;205;09/01/17;189;9/1/16;149;9/1/15;150;9/1/14;184;215;;175,4;175;182
;;10/1/20;10/1/18;213;10/01/17;204;10/1/16;186;10/1/15;187;10/1/14;174;215;;192,8;193;197
;;11/1/20;11/1/18;217;11/01/17;213;11/1/16;182;11/1/15;185;11/1/14;168;215;;193;193;197
;;12/1/20;12/1/18;224;12/01/17;211;12/1/16;164;12/1/15;181;12/1/14;172;215;;190,4;190;195
;;13/1/20;13/1/18;226;13/01/17;220;13/1/16;202;13/1/15;186;13/1/14;209;215;;208,6;209;210
;;14/1/20;14/1/18;216;14/01/17;192;14/1/16;190;14/1/15;185;14/1/14;197;215;;196;196;199
;;15/1/20;15/1/18;216;15/01/17;189;15/1/16;173;15/1/15;200;15/1/14;203;215;;196,2;196;199
;;16/1/20;16/1/18;202;16/01/17;204;16/1/16;171;16/1/15;181;16/1/14;163;215;;184,2;184;189
;;17/1/20;17/1/18;214;17/01/17;190;17/1/16;181;17/1/15;182;17/1/14;161;215;;185,6;186;191
;;18/1/20;18/1/18;186;18/01/17;185;18/1/16;187;18/1/15;180;18/1/14;169;215;;181,4;181;187
;;19/1/20;19/1/18;198;19/01/17;195;19/1/16;170;19/1/15;176;19/1/14;173;215;;182,4;182;188
;;20/1/20;20/1/18;238;20/01/17;186;20/1/16;172;20/1/15;160;20/1/14;195;215;;190,2;190;194
;;21/1/20;21/1/18;235;21/01/17;173;21/1/16;197;21/1/15;148;21/1/14;172;215;;185;185;190
;;22/1/20;22/1/18;224;22/01/17;224;22/1/16;150;22/1/15;168;22/1/14;166;215;;186,4;186;191
;;23/1/20;23/1/18;226;23/01/17;187;23/1/16;174;23/1/15;172;23/1/14;164;215;;184,6;185;190
;;24/1/20;24/1/18;221;24/01/17;196;24/1/16;196;24/1/15;162;24/1/14;150;215;;185;185;190
;;25/1/20;25/1/18;223;25/01/17;179;25/1/16;211;25/1/15;185;25/1/14;163;215;;192,2;192;196
;;26/1/20;26/1/18;229;26/01/17;193;26/1/16;184;26/1/15;162;26/1/14;182;215;;190;190;194
;;27/1/20;27/1/18;223;27/01/17;165;27/1/16;175;27/1/15;173;27/1/14;167;215;;180,6;181;186
;;28/1/20;28/1/18;231;28/01/17;175;28/1/16;154;28/1/15;175;28/1/14;175;215;;182;182;188
;;29/1/20;29/1/18;210;29/01/17;202;29/1/16;191;29/1/15;179;29/1/14;154;215;;187,2;187;192
;;30/1/20;30/1/18;210;30/01/17;192;30/1/16;159;30/1/15;167;30/1/14;153;209;;176,2;176;182
;;31/1/20;31/1/18;205;31/01/17;203;31/1/16;183;31/1/15;166;31/1/14;196;209;;190,6;191;194
;;1/2/20;1/2/18;201;01/02/17;198;1/2/16;186;1/2/15;158;1/2/14;177;209;;184;184;188
;;2/2/20;2/2/18;193;02/02/17;197;2/2/16;173;2/2/15;170;2/2/14;207;209;;188;188;192
;;3/2/20;3/2/18;191;03/02/17;178;3/2/16;195;3/2/15;177;3/2/14;176;209;;183,4;183;188
;;4/2/20;4/2/18;207;04/02/17;195;4/2/16;177;4/2/15;181;4/2/14;175;209;;187;187;191
;;5/2/20;5/2/18;195;05/02/17;196;5/2/16;202;5/2/15;148;5/2/14;181;209;;184,4;184;189
;;6/2/20;6/2/18;193;06/02/17;192;6/2/16;184;6/2/15;193;6/2/14;174;209;;187,2;187;191
;;7/2/20;7/2/18;187;07/02/17;212;7/2/16;208;7/2/15;173;7/2/14;184;209;;192,8;193;196
;;8/2/20;8/2/18;235;08/02/17;208;8/2/16;198;8/2/15;158;8/2/14;171;209;;194;194;197
;;9/2/20;9/2/18;203;09/02/17;191;9/2/16;200;9/2/15;180;9/2/14;174;209;;189,6;190;193
;;10/2/20;10/2/18;178;10/02/17;214;10/2/16;210;10/2/15;202;10/2/14;194;209;;199,6;200;201
;;11/2/20;11/2/18;200;11/02/17;189;11/2/16;181;11/2/15;174;11/2/14;185;209;;185,8;186;190
;;12/2/20;12/2/18;227;12/02/17;210;12/2/16;188;12/2/15;172;12/2/14;172;209;;193,8;194;196
;;13/2/20;13/2/18;218;13/02/17;216;13/2/16;206;13/2/15;186;13/2/14;172;209;;199,6;200;201
;;14/2/20;14/2/18;212;14/02/17;187;14/2/16;197;14/2/15;188;14/2/14;188;209;;194,4;194;197
;;15/2/20;15/2/18;216;15/02/17;192;15/2/16;173;15/2/15;192;15/2/14;182;209;;191;191;194
;;16/2/20;16/2/18;220;16/02/17;193;16/2/16;169;16/2/15;177;16/2/14;157;209;;183,2;183;188
;;17/2/20;17/2/18;197;17/02/17;193;17/2/16;174;17/2/15;179;17/2/14;171;209;;182,8;183;187
;;18/2/20;18/2/18;206;18/02/17;209;18/2/16;187;18/2/15;206;18/2/14;172;209;;196;196;198
;;19/2/20;19/2/18;221;19/02/17;205;19/2/16;181;19/2/15;187;19/2/14;171;209;;193;193;196
;;20/2/20;20/2/18;215;20/02/17;215;20/2/16;178;20/2/15;176;20/2/14;164;209;;189,6;190;193
;;21/2/20;21/2/18;174;21/02/17;226;21/2/16;197;21/2/15;161;21/2/14;171;209;;185,8;186;190
;;22/2/20;22/2/18;226;22/02/17;206;22/2/16;199;22/2/15;179;22/2/14;155;209;;193;193;196
;;23/2/20;23/2/18;186;23/02/17;233;23/2/16;154;23/2/15;192;23/2/14;172;209;;187,4;187;191
;;24/2/20;24/2/18;203;24/02/17;201;24/2/16;173;24/2/15;190;24/2/14;161;209;;185,6;186;190
;;25/2/20;25/2/18;222;25/02/17;177;25/2/16;188;25/2/15;155;25/2/14;165;209;;181,4;181;186
;;26/2/20;26/2/18;206;26/02/17;209;26/2/16;184;26/2/15;185;26/2/14;155;209;;187,8;188;191
;;27/2/20;27/2/18;210;27/02/17;193;27/2/16;190;27/2/15;161;27/2/14;164;209;;183,6;184;188
;;28/2/20;28/2/18;192;28/02/17;210;28/2/16;196;28/2/15;173;28/2/14;160;209;;186,2;186;190
;;1/3/20;1/3/18;204;01/03/17;212;1/3/16;187;1/3/15;174;1/3/14;189;210;;193,2;193;196
;;2/3/20;2/3/18;193;02/03/17;213;2/3/16;193;2/3/15;197;2/3/14;188;210;;196,8;197;199
;;3/3/20;3/3/18;202;03/03/17;229;3/3/16;185;3/3/15;191;3/3/14;190;210;;199,4;199;201
;;4/3/20;4/3/18;201;04/03/17;215;4/3/16;175;4/3/15;181;4/3/14;186;210;;191,6;192;195
;;5/3/20;5/3/18;204;05/03/17;217;5/3/16;203;5/3/15;181;5/3/14;181;210;;197,2;197;199
;;6/3/20;6/3/18;217;06/03/17;226;6/3/16;194;6/3/15;163;6/3/14;157;210;;191,4;191;195
;;7/3/20;7/3/18;185;07/03/17;241;7/3/16;187;7/3/15;209;7/3/14;179;210;;200,2;200;202
;;8/3/20;8/3/18;209;08/03/17;216;8/3/16;200;8/3/15;206;8/3/14;166;210;;199,4;199;201
;;9/3/20;9/3/18;211;09/03/17;211;9/3/16;209;9/3/15;192;9/3/14;174;210;;199,4;199;201
;;10/3/20;10/3/18;198;10/03/17;215;10/3/16;214;10/3/15;197;10/3/14;178;210;;200,4;200;202
;;11/3/20;11/3/18;201;11/03/17;206;11/3/16;230;11/3/15;176;11/3/14;172;210;;197;197;199
;;12/3/20;12/3/18;219;12/03/17;205;12/3/16;196;12/3/15;174;12/3/14;195;210;;197,8;198;200
;;13/3/20;13/3/18;188;13/03/17;228;13/3/16;225;13/3/15;189;13/3/14;190;210;;204;204;205
14/3/20;162;14/3/20;14/3/18;211;14/03/17;217;14/3/16;212;14/3/15;167;14/3/14;174;210;;196,2;196;199
15/3/20;136;15/3/20;15/3/18;202;15/03/17;212;15/3/16;205;15/3/15;181;15/3/14;194;210;;198,8;199;201
16/3/20;122;16/3/20;16/3/18;179;16/03/17;208;16/3/16;200;16/3/15;181;16/3/14;199;210;;193,4;193;196
17/3/20;149;17/3/20;17/3/18;197;17/03/17;238;17/3/16;190;17/3/15;160;17/3/14;194;210;;195,8;196;198
18/3/20;120;18/3/20;18/3/18;198;18/03/17;183;18/3/16;174;18/3/15;162;18/3/14;159;210;;175,2;175;181
19/3/20;109;19/3/20;19/3/18;180;19/03/17;208;19/3/16;232;19/3/15;186;19/3/14;178;210;;196,8;197;199
20/3/20;119;20/3/20;20/3/18;153;20/03/17;234;20/3/16;214;20/3/15;183;20/3/14;180;210;;192,8;193;196
21/3/20;113;21/3/20;21/3/18;180;21/03/17;224;21/3/16;206;21/3/15;186;21/3/14;158;210;;190,8;191;194
22/3/20;148;22/3/20;22/3/18;179;22/03/17;221;22/3/16;203;22/3/15;168;22/3/14;198;210;;193,8;194;197
23/3/20;137;23/3/20;23/3/18;191;23/03/17;222;23/3/16;183;23/3/15;177;23/3/14;159;210;;186,4;186;190
24/3/20;163;24/3/20;24/3/18;188;24/03/17;198;24/3/16;185;24/3/15;159;24/3/14;161;210;;178,2;178;184
25/3/20;185;25/3/20;25/3/18;208;25/03/17;182;25/3/16;193;25/3/15;152;25/3/14;196;210;;186,2;186;190
26/3/20;259;26/3/20;26/3/18;171;26/03/17;205;26/3/16;184;26/3/15;165;26/3/14;190;210;;183;183;188
27/3/20;282;27/3/20;27/3/18;193;27/03/17;221;27/3/16;229;27/3/15;166;27/3/14;179;210;;197,6;198;200
28/3/20;355;28/3/20;28/3/18;183;28/03/17;213;28/3/16;234;28/3/15;162;28/3/14;169;210;;192,2;192;195
29/3/20;438;29/3/20;29/3/18;207;29/03/17;210;29/3/16;222;29/3/15;192;29/3/14;189;210;;204;204;205
30/3/20;494;30/3/20;30/3/18;198;30/03/17;191;30/3/16;205;30/3/15;178;30/3/14;165;210;;187,4;187;191
